-181.861, 75.192, 1.942,  3.960
-181.832, 75.001, 1.934,  3.981
-181.826, 74.960, 1.948,  4.010
-181.818, 74.903, 1.973,  4.030
-181.812, 74.863, 1.986,  4.050
-181.806, 74.823, 1.989,  4.157
-181.780, 74.627, 1.976,  4.178
-181.774, 74.586, 1.987,  4.200
-181.769, 74.543, 2.004,  4.220
-181.764, 74.504, 2.017,  4.241
-181.759, 74.463, 2.023,  4.349
-181.734, 74.261, 2.032,  4.370
-181.729, 74.219, 2.044,  4.396
-181.723, 74.166, 2.064,  4.417
-181.718, 74.123, 2.074,  4.438
-181.713, 74.078, 2.076,  4.544
-181.690, 73.872, 2.081,  4.565
-181.686, 73.828, 2.094,  4.594
-181.679, 73.767, 2.116,  4.615
-181.675, 73.723, 2.126,  4.636
-181.670, 73.680, 2.128,  4.743
-181.650, 73.468, 2.138,  4.764
-181.645, 73.422, 2.148,  4.785
-181.641, 73.377, 2.162,  4.806
-181.637, 73.332, 2.171,  4.827
-181.633, 73.287, 2.173,  4.939
-181.614, 73.070, 2.182,  4.961
-181.610, 73.022, 2.190,  4.983
-181.606, 72.974, 2.202,  5.005
-181.602, 72.926, 2.209,  5.026
-181.599, 72.879, 2.208,  5.138
-181.582, 72.659, 2.224,  5.159
-181.578, 72.612, 2.237,  5.183
-181.574, 72.559, 2.256,  5.204
-181.571, 72.512, 2.267,  5.224
-181.568, 72.466, 2.269,  5.331
-181.553, 72.242, 2.234,  5.352
-181.550, 72.194, 2.235,  5.381
-181.545, 72.130, 2.248,  5.402
-181.543, 72.083, 2.266,  5.423
-181.540, 72.034, 2.283,  5.530
-181.526, 71.803, 2.320,  5.553
-181.523, 71.751, 2.321,  5.581
-181.520, 71.686, 2.313,  5.601
-181.517, 71.639, 2.306,  5.622
-181.514, 71.591, 2.304,  5.730
-181.503, 71.358, 2.376,  5.751
-181.500, 71.306, 2.402,  5.779
-181.497, 71.237, 2.424,  5.800
-181.494, 71.186, 2.426,  5.821
-181.492, 71.134, 2.417,  5.936
-181.482, 70.896, 2.382,  5.958
-181.479, 70.843, 2.386,  5.981
-181.477, 70.787, 2.398,  6.002
-181.475, 70.736, 2.412,  6.023
-181.473, 70.686, 2.421,  6.138
-181.464, 70.443, 2.432,  6.159
-181.462, 70.392, 2.438,  6.182
-181.460, 70.336, 2.448,  6.203
-181.458, 70.284, 2.455,  6.224
-181.456, 70.232, 2.460,  6.338
-181.448, 69.984, 2.502,  6.360
-181.447, 69.930, 2.514,  6.382
-181.445, 69.873, 2.518,  6.403
-181.443, 69.821, 2.515,  6.423
-181.442, 69.770, 2.511,  6.539
-181.435, 69.518, 2.550,  6.560
